Company Name,Website,Location,About,Founded Year,Industry,Is Government Institute,Is a private company,Is a research institution,"Is a medical center (e.g., hospital or clinic)"
IREPERTOIRE INC,[Not Available],[Not Available],"IRepertoire Inc focuses on providing advanced solutions and services in various technology sectors, including software and data management.",[Not Available],Technology / Software,No,Yes,No,No
IRIS CO LTD,[Not Available],[Not Available],"Iris Co Ltd is involved in developing and providing innovative solutions and products across various industries, including technology and healthcare.",[Not Available],Technology / Industrial Solutions,No,Yes,No,No
IRLBACHER BLICKPUNKT GLAS GMBH,[Not Available],[Not Available],"Irlbacher Blickpunkt Glas GmbH specializes in glass products and solutions, providing advanced materials and technologies for various applications.",[Not Available],Glass Manufacturing,No,Yes,No,No
IROM GROUP CO LTD,[Not Available],[Not Available],"IROM Group Co Ltd focuses on providing comprehensive solutions and services across multiple sectors, including industrial technology and healthcare.",[Not Available],Industrial Technology / Healthcare,No,Yes,No,No
IRR INC,[Not Available],[Not Available],"IRR Inc is involved in developing and delivering innovative products and services, focusing on technological advancements and industrial applications.",[Not Available],Technology / Industrial Solutions,No,Yes,No,No
IRTA INST RECERCA I TECNOLOGIA AGROALIME,https://www.irta.cat/,"Barcelona, Spain","IRTA (Institut de Recerca i Tecnologia AgroalimentÃ ria) focuses on research and technology development in the agro-food sector, aiming to advance agricultural practices and food quality.",1990,Agro-food Research,No,No,Yes,No
IS FACTORY KK,[Not Available],[Not Available],"IS Factory KK specializes in providing technology solutions and products for various applications, focusing on innovation and efficiency.",[Not Available],Technology / Industrial Solutions,No,Yes,No,No
ISA PHARM BV,[Not Available],[Not Available],"ISA Pharm BV is involved in pharmaceutical research and development, focusing on innovative treatments and solutions for various health conditions.",[Not Available],Pharmaceuticals,No,Yes,No,No
ISAR BIOSCI GMBH,[Not Available],[Not Available],"ISAR Biosci GmbH focuses on biosciences and biotechnology, developing innovative solutions and products in the field of biological research and medical applications.",[Not Available],Biotechnology / Biosciences,No,Yes,No,No
ISHIKAWA WIRE NETTING CO LTD,[Not Available],[Not Available],"Ishikawa Wire Netting Co Ltd specializes in the production of wire netting and related products, providing solutions for various industrial applications.",[Not Available],Wire Netting / Industrial Manufacturing,No,Yes,No,No
ISHIZUKA GLASS KK,[Not Available],[Not Available],"Ishizuka Glass KK is involved in the manufacturing of glass products, focusing on providing high-quality materials and solutions for various applications.",[Not Available],Glass Manufacturing,No,Yes,No,No
ISIS IC GMBH,[Not Available],[Not Available],"ISIS IC GmbH focuses on integrated circuit technologies and solutions, providing advanced electronic components and systems for various industries.",[Not Available],Electronics / Integrated Circuits,No,Yes,No,No
ISLAND-TECH SYSTEMS CORP,[Not Available],[Not Available],"Island-Tech Systems Corp provides technology solutions and services, specializing in software development and system integration for diverse applications.",[Not Available],Technology / Software,No,Yes,No,No
ISM CO LTD,[Not Available],[Not Available],"ISM Co Ltd focuses on industrial and technological solutions, offering products and services for various sectors including manufacturing and engineering.",[Not Available],Industrial Solutions / Technology,No,Yes,No,No
ISOLERE BIO INC,[Not Available],[Not Available],"Isolere Bio Inc is involved in developing biological solutions and therapies, focusing on innovative approaches to healthcare and medical research.",[Not Available],Biotechnology / Healthcare,No,Yes,Yes,No
ISOVAC PROD LLC,[Not Available],[Not Available],Isovac Prod LLC specializes in the development and production of isolation and protection products for various industrial and healthcare applications.,[Not Available],Industrial Protection / Healthcare,No,Yes,No,No
ISR IMMUNE SYSTEM REGULATION AB,[Not Available],[Not Available],ISR Immune System Regulation AB focuses on research and development related to immune system regulation and therapeutic solutions for immune-related conditions.,[Not Available],Immunology / Biotechnology,No,Yes,Yes,No
ISRAEL INST BIOLOGICAL RES,[Not Available],[Not Available],"The Israel Institute for Biological Research is dedicated to advancing knowledge and technologies in biological and medical research, focusing on innovative treatments and solutions.",[Not Available],Biological Research / Biotechnology,Yes,No,Yes,No
ISRAEL MIN AGRIC & RURAL DEV AGRIC RES,[Not Available],[Not Available],"The Israel Ministry of Agriculture and Rural Development focuses on agricultural research and development, addressing various aspects of agriculture and rural development.",[Not Available],Agricultural Research,Yes,No,Yes,No
IST EURO DI ONCOLOGIA SRL,[Not Available],[Not Available],"IST Euro di Oncologia SRL specializes in oncology research and development, focusing on cancer treatments and therapeutic innovations.",[Not Available],Oncology / Medical Research,No,Yes,Yes,No
IST FOND ONCOLOGIA MOLECOLARE,[Not Available],[Not Available],"IST Fond Oncologia Molecolare is dedicated to molecular oncology research, focusing on advanced cancer therapies and molecular mechanisms of cancer.",[Not Available],Molecular Oncology / Research,No,No,Yes,No
IST NAZ MALATTIE INFETTIVE LAZZARO SPALL,[Not Available],[Not Available],"IST Naz Malattie Infettive Lazzaro Spall is focused on infectious diseases research and treatment, aiming to advance knowledge and therapies for various infectious conditions.",[Not Available],Infectious Diseases / Medical Research,No,No,Yes,Yes
ITALGREEN SPA,[Not Available],[Not Available],Italgreen Spa specializes in the production of synthetic turf and green solutions for sports fields and landscaping applications.,[Not Available],Synthetic Turf / Landscaping,No,Yes,No,No
ITALL INC,[Not Available],[Not Available],"ITALL Inc focuses on providing technology solutions and services across various sectors, including software development and IT consulting.",[Not Available],Technology / IT Consulting,No,Yes,No,No
ITEK PTY LTD,[Not Available],[Not Available],"Itek Pty Ltd specializes in technology and engineering solutions, offering products and services for industrial and technological applications.",[Not Available],Technology / Engineering,No,Yes,No,No
ITEL TELECOM SRL,[Not Available],[Not Available],"Itel Telecom SRL provides telecommunications solutions and services, focusing on advanced communication technologies and infrastructure.",[Not Available],Telecommunications,No,Yes,No,No
ITESO A C,[Not Available],[Not Available],"ITESO A C is involved in various technological and scientific research projects, providing solutions and innovations in different sectors.",[Not Available],Technology / Research,No,No,Yes,No
ITO CHIZAI INVESTMENT KK,[Not Available],[Not Available],"Ito Chizai Investment KK focuses on investments and funding in technology and innovation sectors, supporting the development of new technologies and solutions.",[Not Available],Investment / Technology,No,Yes,No,No
ITO EN LTD,[Not Available],[Not Available],Ito En Ltd is a major company specializing in the production and distribution of tea and related beverages.,[Not Available],Beverages / Tea,No,Yes,No,No
ITO INTELLECTUAL PROPERTY INVESTMENT CORP,[Not Available],[Not Available],Ito Intellectual Property Investment Corp focuses on investing in intellectual property assets and managing related investments.,[Not Available],Intellectual Property / Investment,No,Yes,No,No
ITOCHU CORP,[Not Available],[Not Available],"Itochu Corp is a major trading company involved in various industries including textiles, machinery, and chemicals.",[Not Available],Trading / Multi-industry,No,Yes,No,No
IVA PHARM LLC,[Not Available],[Not Available],"IVA Pharm LLC focuses on pharmaceutical research and development, working on new drug therapies and treatments.",[Not Available],Pharmaceuticals,No,Yes,Yes,No
IVIEW THERAPEUTICS INC,[Not Available],[Not Available],Iview Therapeutics Inc is engaged in the development of novel therapeutic solutions for various medical conditions.,[Not Available],Biotechnology / Pharmaceuticals,No,Yes,Yes,No
IWAMOTO CO LTD,[Not Available],[Not Available],Iwamoto Co Ltd specializes in the manufacturing of industrial machinery and equipment.,[Not Available],Industrial Machinery,No,Yes,No,No
IWASAKI ELECTRIC CO LTD,[Not Available],[Not Available],"Iwasaki Electric Co Ltd focuses on electrical and electronic products, including components and systems for various applications.",[Not Available],Electrical / Electronics,No,Yes,No,No
IYOYA TOWEL KK,[Not Available],[Not Available],Iyoya Towel KK is involved in the production of towels and textile products for various uses.,[Not Available],Textiles / Towels,No,Yes,No,No
IZAWA TOWEL CO LTD,[Not Available],[Not Available],Izawa Towel Co Ltd specializes in manufacturing and distributing towel products and related textiles.,[Not Available],Textiles / Towels,No,Yes,No,No
IZHEVSK MEDICAL ACAD,[Not Available],"Izhevsk, Russia","The Izhevsk Medical Academy focuses on medical education and research, providing training and advancing medical knowledge and practices.",[Not Available],Medical Education / Research,Yes,No,Yes,No
IZMIR YUKSEK TEKNOLOJI ENSTITUSU,[Not Available],"Izmir, Turkey",The Izmir Institute of Technology focuses on higher education and research in various technological and scientific fields.,[Not Available],Education / Research,Yes,No,Yes,No
